iter	MultiClass
0	1.061856121
5	0.9159076311
10	0.8128501931
15	0.7374590624
20	0.6807057178
25	0.6371939691
30	0.6037628089
35	0.5773479574
40	0.5567408781
45	0.5405689799
50	0.5278622041
55	0.5178436478
60	0.5099079349
65	0.5036852387
70	0.4987675818
75	0.4949036066
80	0.4918347084
85	0.4894436571
90	0.4875540819
95	0.4860669642
100	0.4848823091
105	0.4839416144
110	0.4831967038
115	0.4825773593
120	0.482109678
125	0.4817141671
130	0.4813739294
135	0.4811232478
140	0.4809485666
145	0.480820034
150	0.480723644
155	0.480632173
160	0.4805760362
165	0.48048066
170	0.4804354877
175	0.4803615899
180	0.480333315
185	0.4803165303
190	0.4802961408
195	0.4802735735
200	0.4802661762
205	0.4802461998
210	0.480230091
215	0.4801988496
220	0.4801888989
225	0.4801837922
230	0.4801654679
235	0.4801626517
240	0.4801581833
245	0.4801582584
250	0.4801490963
255	0.4801492089
260	0.4801481951
265	0.4801420369
270	0.4801297582
275	0.4801091059
